大分類,分野,年,国・地域,シェア(%)
O.サービス/アプリケーション,固定通信サービス,2019年,日本,12.9
O.サービス/アプリケーション,固定通信サービス,2018年,日本,15.9
O.サービス/アプリケーション,固定通信サービス,2017年,日本,17.2
O.サービス/アプリケーション,移動体通信サービス,2019年,日本,9.2
O.サービス/アプリケーション,移動体通信サービス,2018年,日本,9
O.サービス/アプリケーション,移動体通信サービス,2017年,日本,8.6
O.サービス/アプリケーション,動画配信,2019年,日本,4.5
O.サービス/アプリケーション,動画配信,2018年,日本,3.5
O.サービス/アプリケーション,動画配信,2017年,日本,5
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,日本,1.8
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,日本,2.5
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,日本,3.3
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,日本,1.9
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,日本,2.3
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,日本,2.9
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,日本,2.6
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,日本,2.6
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,日本,2
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,日本,0.1
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,日本,0.2
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,日本,0.3
A.クラウド/データセンター,テ?ータセンター,2019年,日本,7.7
A.クラウド/データセンター,テ?ータセンター,2018年,日本,8.8
A.クラウド/データセンター,テ?ータセンター,2017年,日本,9.7
O.サービス/アプリケーション,固定通信サービス,2019年,米国,36.6
O.サービス/アプリケーション,固定通信サービス,2018年,米国,31.6
O.サービス/アプリケーション,固定通信サービス,2017年,米国,33.5
O.サービス/アプリケーション,移動体通信サービス,2019年,米国,24.5
O.サービス/アプリケーション,移動体通信サービス,2018年,米国,23.2
O.サービス/アプリケーション,移動体通信サービス,2017年,米国,20.7
O.サービス/アプリケーション,動画配信,2019年,米国,63.2
O.サービス/アプリケーション,動画配信,2018年,米国,67
O.サービス/アプリケーション,動画配信,2017年,米国,69.8
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,米国,65.2
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,米国,65.3
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,米国,71.8
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,米国,82.2
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,米国,80.9
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,米国,75.7
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,米国,78
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,米国,78.2
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,米国,82.7
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,米国,86.6
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,米国,84.1
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,米国,84.8
A.クラウド/データセンター,テ?ータセンター,2019年,米国,69.5
A.クラウド/データセンター,テ?ータセンター,2018年,米国,65.5
A.クラウド/データセンター,テ?ータセンター,2017年,米国,68.5
O.サービス/アプリケーション,固定通信サービス,2019年,ドイツ,3.5
O.サービス/アプリケーション,固定通信サービス,2018年,ドイツ,5.5
O.サービス/アプリケーション,固定通信サービス,2017年,ドイツ,4.6
O.サービス/アプリケーション,移動体通信サービス,2019年,ドイツ,2.3
O.サービス/アプリケーション,移動体通信サービス,2018年,ドイツ,
O.サービス/アプリケーション,移動体通信サービス,2017年,ドイツ,2.2
O.サービス/アプリケーション,動画配信,2019年,ドイツ,2.2
O.サービス/アプリケーション,動画配信,2018年,ドイツ,
O.サービス/アプリケーション,動画配信,2017年,ドイツ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,ドイツ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,ドイツ,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,ドイツ,2.2
